Kassembie_2.21	CE	9
Kassembie_2.21	GH	95
Kassembie_2.21	GT	48
Kassembie_2.24	AA	3
Kassembie_2.24	CBM	11
Kassembie_2.24	CE	26
Kassembie_2.24	GH	85
Kassembie_2.24	GT	72
Kassembie_2.24	PL	4
Kassembie_2.25	AA	2
Kassembie_2.25	CBM	2
Kassembie_2.25	CE	8
Kassembie_2.25	GH	24
Kassembie_2.25	GT	72
Kassembie_2.28	AA	10
Kassembie_2.28	CBM	2
Kassembie_2.28	CE	5
Kassembie_2.28	GH	16
Kassembie_2.28	GT	30
Kassembie_2.28	PL	2
Kassembie_2.29	AA	4
Kassembie_2.29	CE	3
Kassembie_2.29	GH	11
Kassembie_2.29	GT	31
Kassembie_2.30	AA	7
Kassembie_2.30	CBM	3
Kassembie_2.30	CE	18
Kassembie_2.30	GH	31
Kassembie_2.30	GT	49
Kassembie_2.30	PL	1
Kassembie_2.32	AA	8
Kassembie_2.32	CBM	8
Kassembie_2.32	CE	18
Kassembie_2.32	GH	43
Kassembie_2.32	GT	35
Kassembie_2.33	AA	3
Kassembie_2.33	GH	5
Kassembie_2.33	GT	23
Kassembie_2.35	AA	3
Kassembie_2.35	CE	2
Kassembie_2.35	GH	5
Kassembie_2.35	GT	17
Kassembie_2.36	AA	1
Kassembie_2.36	CBM	3
Kassembie_2.36	CE	2
Kassembie_2.36	GH	15
Kassembie_2.36	GT	12
Kassembie_2.39	AA	13
Kassembie_2.39	CBM	3
Kassembie_2.39	CE	12
Kassembie_2.39	GH	32
Kassembie_2.39	GT	47
Kassembie_2.39	PL	2
Kassembie_2.4	AA	4
Kassembie_2.4	CE	2
Kassembie_2.4	GH	6
Kassembie_2.4	GT	18
Kassembie_2.43	AA	3
Kassembie_2.43	CE	2
Kassembie_2.43	GH	5
Kassembie_2.43	GT	18
Kassembie_2.48	AA	5
Kassembie_2.48	CE	4
Kassembie_2.48	GH	6
Kassembie_2.48	GT	19
Kassembie_2.49	AA	9
Kassembie_2.49	CBM	1
Kassembie_2.49	CE	5
Kassembie_2.49	GH	26
Kassembie_2.49	GT	45
Kassembie_2.5	AA	1
Kassembie_2.5	CE	1
Kassembie_2.5	GH	6
Kassembie_2.5	GT	10
Kassembie_2.51	CBM	5
Kassembie_2.51	CE	13
Kassembie_2.51	GH	22
Kassembie_2.51	GT	26
Kassembie_2.51	PL	2
Kassembie_2.52	AA	3
Kassembie_2.52	CBM	2
Kassembie_2.52	CE	6
Kassembie_2.52	GH	29
Kassembie_2.52	GT	32
Kassembie_2.53	AA	3
Kassembie_2.53	CBM	7
Kassembie_2.53	CE	13
Kassembie_2.53	GH	57
Kassembie_2.53	GT	74
Kassembie_2.53	PL	1
Kassembie_2.55	AA	6
Kassembie_2.55	CBM	6
Kassembie_2.55	CE	8
Kassembie_2.55	GH	67
Kassembie_2.55	GT	32
Kassembie_2.7	AA	4
Kassembie_2.7	CE	8
Kassembie_2.7	GH	21
Kassembie_2.7	GT	32
Kassembie_2.8	AA	1
Kassembie_2.8	CBM	15
Kassembie_2.8	CE	24
Kassembie_2.8	GH	131
Kassembie_2.8	GT	80
Kassembie_2.8	PL	6
Kassembie_2.9	AA	2
Kassembie_2.9	CBM	3
Kassembie_2.9	CE	7
Kassembie_2.9	GH	58
Kassembie_2.9	GT	39
Kassembie_2.9	PL	1
