kingdom;phylum;class;order;family;genus;species;SGB;Bietry_1;Bietry_2;Bietry_3;Kassembie_1;Kassembie_2
k__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Lacipirellulaceae;g__GGB138701;s__GGB138701_SGB185574;t__SGB185574;0.00058;0.00053;0.00028;0.0;0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;g__Maribellus;s__Maribellus_luteus;t__SGB197668;0.00055;0.0;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Qipengyuania;s__Qipengyuania_intermedia;t__SGB111664;0.00053;0.05804;0.04195;0.0;0.0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Brooklawnia;s__Brooklawnia_propionicigenes;t__SGB61426;0.00053;0.0;0.00919;0.0;0.0
k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobacter_fluminis;t__SGB33811;0.00037;0.00134;0.00588;0.0;0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB55957;s__GGB55957_SGB77276;t__SGB77276;0.00027;0.0;0.0;0.0;0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_weizhouense;t__SGB109593;0.00026;0.0;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Neptunomonas;s__Neptunomonas_concharum;t__SGB58226;0.00026;0.0;0.01846;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Marivita;s__Marivita_geojedonensis;t__SGB10565;0.00025;0.0;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Thioclava;s__Thioclava_sp_ES_031;t__SGB206424;0.00019;0.01308;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae;g__Hyphomonas;s__Hyphomonas_sp_CY54_11_8;t__SGB10522;0.00018;0.0;0.00344;0.0;0.0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_vitaeruminis;t__SGB17092;0.00018;0.00014;0.00166;0.0;0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Priestia;s__Priestia_flexa;t__SGB7677;0.00017;0.04478;0.02425;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Defluviimonas;s__Defluviimonas_denitrificans;t__SGB24223;0.00016;0.0021;0.00122;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__GGB16199;s__GGB16199_SGB24558;t__SGB24558;0.00011;0.0;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Qipengyuania;s__Qipengyuania_gelatinilytica;t__SGB111661;8,00E-05;0.0495;0.02237;0.0;0.0
k__Bacteria;p__Actinomycetota;c__CFGB92807;o__OFGB92807;f__FGB92807;g__GGB134974;s__GGB134974_SGB177300;t__SGB177300;4,00E-05;0.0;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;;;;;;0.0;0.00406;0.02033;18.47072;6.95305
k__Bacteria;p__Bacteroidota;c__Cytophagia;;;;;;0.0;0.00242;0.00014;0.0;0.0
k__Bacteria;p__Thermodesulfobacteriota;c__Desulfarculia;;;;;;0.0;0.00121;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;;;;;0.0;0.16444;0.09197;0.0321;16.95291
k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;;;;;0.0;0.00406;0.0029;11.95555;6.71354
