taxon,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,total
Rhodobacterales bacterium FZCC0069,0,0,0.0649,0,0,0.0649
Achromobacter xylosoxidans,0,0,0,0,0.0647,0.0647
Solibacillus isronensis,0.01134,0.05318,0,0,0,0.06452
Aequorivita vladivostokensis,0,0.0213,0.0405,0,0,0.0618
GGB54174 SGB75380,0,0,0,0.06156,0,0.06156
Microbacterium sp WCS2018Hpa 9,0,0,0.0606,0,0,0.0606
Gordonia aquimaris,0.00514,0.01983,0.03553,0,0,0.0605
Vreelandella aquamarina,0.04773,0,0.012070000000000001,0,0,0.059800000000000006
Erythrobacteraceae bacterium E2 1 Yellow Sea,0,0,0.05869,0,0,0.05869
Qipengyuania nanhaisediminis,0,0.02104,0.03754,0,0,0.05857999999999999
GGB66392 SGB132736,0,0,0,0.05789,0,0.05789
Arenibacter latericius,0,0.05701,8.5e-4,0,0,0.057859999999999995
Niallia taxi,0,0.03995,0.01769,0,0,0.05764
GGB98529 SGB137755,7.1e-4,0.00161,0.05519,0,0,0.057510000000000006
Acinetobacter vivianii,0,0,0,0,0.05751,0.05751
GGB64250 SGB86668,0,0,0.05728,0,0,0.05728
GGB65847 SGB89195,0,0,0,0.05728,0,0.05728
Clostridium sartagoforme,0.05571,0,0,0,0,0.05571
Microbulbifer harenosus,0,0,0.05523,0,0,0.05523
Qipengyuania SGB138215,0,0,0.05522,0,0,0.05522
Bacillus sp NTK034,0,0.05447,0,0,0,0.05447
Psychrobacter sp SWN149,0.01807,0.01149,0.02477,0,0,0.05433
Qipengyuania xiamenensis,0,0.04181,0.01214,0,0,0.05395
Acinetobacter sedimenti,0.00693,0.01727,0.02949,0,0,0.05369
Paracoccus marcusii,0,0,0.05336,0,0,0.05336
Flavobacterium haoranii,0.02771,0.024,0.00101,0,0,0.052719999999999996
Celeribacter naphthalenivorans,0.05024,0.00137,0,0,0,0.05161
Heliomarina baculiformis,0,0.05114,0,0,0,0.05114
GGB136196 SGB176986,0,0,0.051,0,0,0.051
Rhodococcus ruber,0,0.03377,0.01646,0,0,0.05023
GGB54137 SGB147869,0,0,0,0,0.0488,0.0488
Gordonia hongkongensis,0,0,0.04875,0,0,0.04875
Winogradskyella sp SYSU M77433,0,0.04859,0,0,0,0.04859
Psychrobacter sp NZS113,0.04074,0,0.00766,0,0,0.0484
Qipengyuania oceanensis,0,0.04214,0.00621,0,0,0.04835
Zunongwangia profunda,0,0,0.04758,0,0,0.04758
Rossellomorea marisflavi,0,0.01466,0.03202,0,0,0.04668
Streptococcus suis,0.04666,0,0,0,0,0.04666
Psychrobacter sp NG254,0.02342,0.00125,0.02182,0,0,0.04649
Sinomonas albida,0,0,0,0.01926,0.02644,0.045700000000000005
Romboutsia lituseburensis,0.04512,0,0,0,0,0.04512
Zeaxanthinibacter enoshimensis,0,0.04418,8.9e-4,0,0,0.04507
Pseudoalteromonas nigrifaciens,0,0,0.04452,0,0,0.04452
Qipengyuania SGB38253,0,0,0.04389,0,0,0.04389
Roseovarius pacificus,0,0.04367,0,0,0,0.04367
Salipiger thiooxidans,0,0.04114,0.00159,0,0,0.042730000000000004
Youhaiella tibetensis,0,0.04263,0,0,0,0.04263
Polynucleobacter sp MWH UH2A,0,0,0,0,0.04242,0.04242
Roseiarcus fermentans,0,0,0,0,0.04236,0.04236
Demequina sediminis,0,0,0.04215,0,0,0.04215
Enterobacter hormaechei,0,0,0.00239,0,0.03928,0.041670000000000006
Psychrobacter fjordensis,0.02992,0.00193,0.00977,0,0,0.04162
GGB71614 SGB126404,0,0,0,0.04039,0,0.04039
GGB91419 SGB134682,0,0,0,0.04001,0,0.04001
Celeribacter halophilus,0,0,0.03876,0,0,0.03876
GGB66014 SGB133090,0,0,0,0.03861,0,0.03861
Microbulbifer variabilis,0,0,0.0381,0,0,0.0381
Sphingomonas beigongshangi,0,0,0,0,0.03793,0.03793
Candidatus Macondimonas diazotrophica,0.01141,0.00207,0.02422,0,0,0.0377
Microbacterium testaceum,0,0,1.3e-4,0,0.03569,0.03582
Roseateles chitosanitabidus,0,0,0,0,0.03536,0.03536
Microbulbifer pacificus,0,0.00302,0.03164,0,0,0.03466
Halobacillus salinus,0,0,0.03398,0,0,0.03398
Lysinibacillus sphaericus,0.02825,0.00537,0,0,0,0.03362
Psychrobacter luti,0.01255,0.00191,0.01896,0,0,0.03342
GGB52803 SGB86999,0,0,0,0.03333,0,0.03333
Qipengyuania gaetbuli,0,0.02822,0.00462,0,0,0.03284
GGB92323 SGB132845,0,0,0,0.03267,0,0.03267
Methylocystis bryophila,0,0,0,0.03257,0,0.03257
Microbulbifer sp THAF38,0,0,0.03224,0,0,0.03224
GGB88569 SGB123343,0,0,0,0.03211,0,0.03211
Dyella amyloliquefaciens,0,0,0,0.0321,0,0.0321
Pseudalkalibacillus hwajinpoensis,0,0.03196,0,0,0,0.03196
Tetzosporium hominis,0,0,0.03099,0,0,0.03099
Corynebacterium SGB61358,0.0017,0,0.02914,0,0,0.03084
GGB89977 SGB126808,0,0,0,0.03064,0,0.03064
Brevundimonas aurantiaca,0,0,0.03007,0,0,0.03007
Caulobacter vibrioides,0,0,0,0,0.029760000000000002,0.029760000000000002
Cellulomonas sp APG4,0,0.02958,0,0,0,0.02958
Maribacter aurantiacus,0.0023,0.02584,0.0014,0,0,0.029539999999999997
Salinicola salarius,0,0.00832,0.02102,0,0,0.029339999999999998
Curtobacterium luteum,0,0,0,0,0.02904,0.02904
Polynucleobacter tropicus,0,0,0,0,0.02887,0.02887
Sphingomonas pseudosanguinis,0,0,0,0,0.02857,0.02857
Jonesia denitrificans,0,0,0.02856,0,0,0.02856
Erythrobacter sp HKB08,0,0.02579,0.00242,0,0,0.02821
Sphingomonas SGB73465,0,0,0,0,0.02793,0.02793
Qipengyuania soli,0,0.02743,2e-4,0,0,0.02763
