phylum,family,genus,species,SGB,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,mean_bietry,mean_kassembie
Pseudomonadota,FGB72964,GGB46913,GGB46913_SGB64825,SGB64825,0,0,0.00733,0,0,0.0024433333333333334,0
Bacteroidota,Flavobacteriaceae,GGB142108,GGB142108_SGB213955,SGB213955,0,0,0.00601,0,0,0.002003333333333333,0
Pseudomonadota,FGB83885,GGB43144,GGB43144_SGB60398,SGB60398,0,0,0.00528,0,0,0.00176,0
Firmicutes,Oscillospiraceae,GGB9634,GGB9634_SGB15095,SGB15095,0,0,0.00512,0,0,0.0017066666666666669,0
Pseudomonadota,Sphingomonadaceae,GGB131183,GGB131183_SGB183046,SGB183046,0,0,0.00479,0,0,0.0015966666666666666,0
Firmicutes,FGB40002,GGB42066,GGB42066_SGB59206,SGB59206,0,0,0.00467,0,0,0.0015566666666666665,0
Bacteroidota,Flavobacteriaceae,GGB49933,GGB49933_SGB69928,SGB69928,0,0,0.00452,0,0,0.0015066666666666666,0
Bacteroidota,FGB24175,GGB108659,GGB108659_SGB193402,SGB193402,0,0,0.00443,0,0,0.0014766666666666667,0
Pseudomonadota,Paracoccaceae,GGB43300,GGB43300_SGB90439,SGB90439,0,0,0.00396,0,0,0.00132,0
Thermodesulfobacteriota,FGB8491,GGB90658,GGB90658_SGB127212,SGB127212,0,0,0,0.00253,0,0,0.001265
Pseudomonadota,Nitrobacteraceae,GGB132275,GGB132275_SGB184675,SGB184675,0,0,0,0,0.00247,0,0.001235
Actinomycetota,FGB67380,GGB60247,GGB60247_SGB82192,SGB82192,0.0013,0.00199,3.9e-4,0,0,0.0012266666666666667,0
Pseudomonadota,FGB2312,GGB42957,GGB42957_SGB57748,SGB57748,0,0,0.00334,0,0,0.0011133333333333334,0
Pseudomonadota,FGB23763,GGB59727,GGB59727_SGB81551,SGB81551,0.00169,0,0.00161,0,0,0.0011,0
Bacteroidota,FGB463,GGB46612,GGB46612_SGB64482,SGB64482,0,0,0.00301,0,0,0.0010033333333333333,0
Bacteroidota,Flavobacteriaceae,GGB110760,GGB110760_SGB195771,SGB195771,0,0,0.00295,0,0,9.833333333333332e-4,0
Pseudomonadota,Comamonadaceae,GGB98133,GGB98133_SGB138700,SGB138700,0,0,0.0029,0,0,9.666666666666666e-4,0
Bacteroidota,FGB42410,GGB46774,GGB46774_SGB64663,SGB64663,0,0,0.00233,0,0,7.766666666666667e-4,0
Thermodesulfobacteriota,FGB93781,GGB6246,GGB6246_SGB8904,SGB8904,0.00223,0,0,0,0,7.433333333333334e-4,0
Actinomycetota,Promicromonosporaceae,Isoptericola,Isoptericola_SGB129906,SGB129906,0,0,0.00171,0,0,5.7e-4,0
Pseudomonadota,Piscirickettsiaceae,GGB8990,GGB8990_SGB13861,SGB13861,0,0,0.00152,0,0,5.066666666666667e-4,0
Bacteroidota,Flavobacteriaceae,GGB68165,GGB68165_SGB140159,SGB140159,0,0,0.00144,0,0,4.8e-4,0
