kingdom,phylum,class,order,family,genus,species,SGB,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,status
k__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Mesoflavibacter,s__Mesoflavibacter_SGB92152,t__SGB92152,0.05984,0.99962,0.00907,0,0,Undescribed
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_alimentarius,t__SGB10455,0.05804,1.19196,0.26055,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Celeribacter,s__Celeribacter_ethanolicus,t__SGB10876,0.05776,0.6554,0.0036,0,0,Named species
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_sartagoforme,t__SGB6182,0.05571,0,0,0,0,Named species
k__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Mesoflavibacter,s__Mesoflavibacter_zeaxanthinifaciens,t__SGB21779,0.05521,3.88005,0.008,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Celeribacter,s__Celeribacter_naphthalenivorans,t__SGB111305,0.05024,0.00137,0,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Mesobacillus,s__Mesobacillus_selenatarsenatis,t__SGB82816,0.04826,0.17409,0,0,0,Named species
k__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Micrococcales,f__Micrococcaceae,g__Micrococcus,s__Micrococcus_endophyticus,t__SGB16677,0.04782,0.12846,0.73354,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,g__Vreelandella,s__Vreelandella_aquamarina,t__SGB11824,0.04773,0,0,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_suis,t__SGB29821_group,0.04666,0,0,0,0,Named species
k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Romboutsia,s__Romboutsia_lituseburensis,t__SGB6151,0.04512,0,0,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sp_NZS113,t__SGB206398,0.04074,0,0.00766,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_cryohalolentis,t__SGB10467,0.03749,0.089,0.10081,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillales_unclassified,g__Exiguobacterium,s__Exiguobacterium_alkaliphilum,t__SGB8324,0.03424,0.14569,0.01463,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Paracoccaceae,g__Paracoccus,s__Paracoccus_indicus,t__SGB31423,0.03392,0.33445,4.80992,0,0.02371,Named species
k__Bacteria,p__Planctomycetota,c__CFGB25759,o__OFGB25759,f__FGB25759,g__GGB45133,s__GGB45133_SGB62646,t__SGB62646,0.03298,0.02685,1.24105,0,0,Undescribed
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Paracoccaceae,g__Paracoccus,s__Paracoccus_homiensis,t__SGB10712,0.03254,0.7117,0.17395,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_fjordensis,t__SGB206397,0.02992,0.00193,0.00977,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Lysinibacillus,s__Lysinibacillus_sphaericus,t__SGB7490,0.02825,0.00537,0,0,0,Named species
k__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_haoranii,t__SGB3042,0.02771,0.024,0.00101,0,0,Named species
